"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2017","149.93","149.95","150.33","149.52","3.11M","0.05%"
"May 26, 2017","149.86","149.87","150.24","149.25","3.26M","0.05%"
"May 25, 2017","149.78","149.81","149.95","149.27","3.41M","0.19%"
"May 24, 2017","149.50","147.94","149.99","147.00","3.39M","1.14%"
"May 23, 2017","147.82","148.22","148.53","147.65","3.26M","-0.25%"
"May 22, 2017","148.19","148.30","148.88","147.93","3.29M","0.03%"
"May 19, 2017","148.15","147.25","148.83","146.84","4.07M","0.78%"
"May 18, 2017","147.01","146.41","147.24","145.81","2.73M","0.41%"
"May 17, 2017","146.41","146.63","147.46","146.24","3.88M","-0.60%"
"May 16, 2017","147.29","146.55","147.67","146.28","3.54M","0.69%"
"May 15, 2017","146.28","145.43","146.40","145.43","3.33M","0.63%"
"May 12, 2017","145.36","144.50","145.50","144.46","2.75M","0.80%"
"May 11, 2017","144.21","144.08","144.41","143.40","1.94M","-0.21%"
"May 10, 2017","144.52","143.86","144.64","143.73","2.27M","0.11%"
"May 09, 2017","144.36","144.09","144.98","144.00","3.05M","0.08%"
"May 08, 2017","144.24","143.93","144.50","143.66","2.81M","0.19%"
"May 05, 2017","143.96","143.42","143.97","142.58","2.45M","0.36%"
"May 04, 2017","143.45","142.62","143.67","142.26","4.18M","0.58%"
"May 03, 2017","142.62","142.20","142.70","141.40","4.28M","0.98%"
"May 02, 2017","141.23","140.98","141.81","140.72","3.77M","0.06%"
"May 01, 2017","141.15","139.86","141.45","139.84","3.75M","0.87%"
"Apr 28, 2017","139.93","140.39","140.76","139.78","4.78M","-0.67%"
"Apr 27, 2017","140.87","141.88","142.79","140.85","5.18M","0.02%"
"Apr 26, 2017","140.84","141.70","142.00","140.34","7.13M","-0.61%"
"Apr 25, 2017","141.70","138.14","141.99","137.18","10.89M","5.57%"
"Apr 24, 2017","134.23","134.24","134.76","133.26","5.04M","0.61%"
"Apr 21, 2017","133.41","133.55","133.88","133.15","3.47M","0.11%"
