Date,Price,Open,High,Low,Vol.,Change %,
27-Feb-18,517.3,517,520.4,515.6,5.79K,0.06%,
26-Feb-18,517,512.6,516.9,512.6,7.69K,1.04%,
23-Feb-18,511.7,510.7,512.9,510.3,4.29K,0.20%,
22-Feb-18,510.7,509,511.9,508,4.01K,0.47%,
21-Feb-18,508.3,504.3,509.5,504.3,7.81K,0.59%,
20-Feb-18,505.3,503.5,507,502.7,11.48K,0.44%,
16-Feb-18,503.1,501.5,504.5,500.5,8.28K,0.38%,
15-Feb-18,501.2,503.1,504.1,500.7,6.85K,-0.52%,
14-Feb-18,503.8,503.7,504.8,501.5,7.20K,-0.02%,
13-Feb-18,503.9,503.1,505.1,501.9,13.35K,0.12%,
12-Feb-18,503.3,498.5,503.4,498.5,10.19K,1.08%,
9-Feb-18,497.9,499,501.3,497.2,10.07K,-0.28%,
8-Feb-18,499.3,498,501.3,497.8,13.13K,0.22%,
7-Feb-18,498.2,499.5,502.2,498,13.34K,-0.32%,
6-Feb-18,499.8,494.9,500,494.6,15.79K,0.99%,
5-Feb-18,494.9,492.7,495.9,492.3,9.46K,0.30%,
2-Feb-18,493.4,493,496.1,490.7,7.68K,-0.18%,
1-Feb-18,494.3,496.5,496.6,493.1,10.37K,-0.48%,
31-Jan-18,496.7,498.2,499,495.6,8.77K,-0.32%,
30-Jan-18,498.3,496.5,499.3,494.9,12.75K,0.42%,
29-Jan-18,496.2,495.3,497.5,494.2,11.04K,0.51%,
26-Jan-18,493.7,495.4,496,493.5,6.14K,-0.46%,
25-Jan-18,496,495,497.5,494,8.06K,0.20%,
24-Jan-18,495,495,495.8,493.5,7.83K,-0.22%,
23-Jan-18,496.1,493.7,497,493.2,7.68K,0.40%,
22-Jan-18,494.1,496,497.2,493.2,7.54K,-0.38%,
19-Jan-18,496,492.1,496.6,491.4,9.47K,0.69%,
18-Jan-18,492.6,489.5,493,489,6.09K,0.59%,
17-Jan-18,489.7,489.5,492,487,9.75K,0.08%,
16-Jan-18,489.3,492.3,492.7,489,7.42K,-0.35%,
15-Jan-18,491,494.3,495,490.5,2.47K,0.84%,
12-Jan-18,486.9,486.9,486.9,486.9,-,0.45%,
11-Jan-18,484.7,484.7,484.7,484.7,-,-0.57%,
