Date,Price,Open,High,Low,Vol.,Change %,
2-Jan-18,14754.10,13444.90,15306.10,12934.20,137.73K,9.74%,
29-Dec-17,14392.60,14398.50,15109.80,13951.10,118.88K,-0.04%,
28-Dec-17,14398.70,15416.30,15505.50,13466.10,170.37K,-6.60%,
27-Dec-17,15416.60,15757.00,16514.60,14534.70,138.71K,-2.16%,
26-Dec-17,15756.60,13830.20,16094.70,13748.50,143.14K,13.90%,
22-Dec-17,13665.00,15632.10,15823.70,10875.70,466.98K,-12.58%,
21-Dec-17,15632.10,16461.10,17301.80,14953.00,163.74K,-5.04%,
20-Dec-17,16462.00,17521.70,17813.60,15642.70,227.68K,-6.06%,
19-Dec-17,17523.70,18971.20,19022.00,16812.80,174.54K,-7.64%,
18-Dec-17,18972.30,19065.70,19221.10,18114.40,139.25K,-0.49%,
15-Dec-17,17604.80,16467.90,17987.00,16442.20,153.65K,6.90%,
14-Dec-17,16467.90,16286.80,16941.10,16023.60,107.92K,1.11%,
13-Dec-17,16286.80,17083.90,17268.00,15669.90,155.41K,-4.67%,
12-Dec-17,17083.90,16733.30,17560.70,16254.50,132.85K,2.10%,
11-Dec-17,16732.50,15060.50,17399.20,15024.60,159.73K,11.11%,
8-Dec-17,16047.60,16868.00,17294.80,13906.10,286.76K,-4.76%,
7-Dec-17,16850.30,13750.10,16879.30,13401.60,297.11K,22.55%,
6-Dec-17,13749.60,11667.10,13843.20,11661.80,191.58K,17.85%,
5-Dec-17,11667.10,11624.40,11901.90,11486.10,89.69K,0.37%,
4-Dec-17,11623.90,11244.20,11624.60,10917.80,93.17K,3.36%,
1-Dec-17,10861.50,9947.10,10942.80,9420.90,131.92K,9.20%,
30-Nov-17,9946.80,9848.00,10689.10,9023.80,187.01K,1.11%,
29-Nov-17,9837.90,9906.00,11417.80,8938.70,233.33K,-0.69%,
28-Nov-17,9906.00,9732.60,9969.60,9638.20,87.76K,1.78%,
27-Nov-17,9733.20,9318.40,9733.60,9316.80,106.90K,4.45%,
24-Nov-17,8200.80,8013.40,8332.90,7900.20,73.00K,2.34%,
22-Nov-17,8234.50,8099.90,8304.40,8091.60,65.81K,1.66%,
21-Nov-17,8100.00,8245.90,8368.40,7819.10,115.45K,-1.76%,
20-Nov-17,8244.70,8042.60,8294.10,7947.30,75.70K,2.51%,
17-Nov-17,7700.00,7853.70,8000.20,7534.70,117.35K,-1.96%,
